Time	Temp	Humid	DewPt	Press	WindSp	WindDr	Sun	Rain	Start	MxWSpd
00:00	9.2	98	8.9	1019	0.7	N	0.00	0.00	00:00	4
00:30	9.2	99	9.0	1019	0.4	N	0.00	0.00	00:00	4
01:00	9.2	97	8.7	1019	0.9	N	0.00	0.00	00:00	4
01:30	9.2	98	8.9	1019	0.7	NW	0.00	0.00	00:00	4
02:00	9.2	96	8.6	1019	0.3	N	0.00	0.00	00:00	2
02:30	9.2	96	8.6	1019	0.4	NE	0.00	0.00	00:00	2
03:00	8.8	95	8.0	1019	0.5	N	0.00	0.00	00:00	4
03:30	8.8	95	8.0	1019	0.2	N	0.00	0.00	00:00	2
04:00	8.0	95	7.2	1019	0.1	N	0.00	0.00	00:00	2
04:30	8.0	96	7.4	1018	0.1	N	0.00	0.00	00:00	2
05:00	8.0	96	7.4	1019	0.3	NE	0.00	0.00	00:00	2
05:30	8.0	95	7.2	1019	0.2	N	0.00	0.00	00:00	2
06:00	8.0	94	7.1	1018	0.3	N	0.00	0.00	00:00	2
06:30	8.0	93	6.9	1019	0.3	NE	0.00	0.00	00:00	2
07:00	8.0	93	6.9	1019	0.4	NE	0.00	0.00	00:00	4
07:30	7.6	93	6.5	1018	0.3	NE	0.00	0.00	00:00	4
08:00	7.6	92	6.4	1019	0.4	NE	0.00	0.00	00:00	4
08:30	8.0	91	6.6	1019	0.4	NE	0.13	0.00	00:00	2
09:00	8.4	88	6.5	1019	0.3	NE	0.51	0.00	00:00	4
09:30	10.0	80	6.7	1019	0.6	NE	1.06	0.00	00:00	4
10:00	11.8	76	7.7	1019	1.5	NE	1.59	0.00	00:00	6
10:30	12.3	74	7.8	1019	2.6	NE	2.10	0.00	00:00	10
11:00	12.3	73	7.6	1019	2.7	NE	2.55	0.01	00:00	12
11:30	12.3	75	8.0	1019	2.9	NE	2.75	0.03	00:00	10
12:00	13.2	68	7.4	1019	2.7	NE	2.79	0.04	00:00	8
12:30	13.2	67	7.2	1019	2.8	NE	2.89	0.04	00:00	10
13:00	14.1	61	6.7	1018	2.9	NE	3.33	0.05	00:00	8
13:30	13.6	63	6.7	1018	2.2	NE	3.53	0.05	00:00	8
14:00	13.6	58	5.5	1018	2.4	NE	3.82	0.05	00:00	8
14:30	13.6	58	5.5	1018	2.8	NE	4.21	0.06	00:00	10
15:00	14.1	58	6.0	1017	1.6	NE	4.74	0.06	00:00	6
15:30	14.1	58	6.0	1017	2.6	NE	5.22	0.06	00:00	10
16:00	13.6	57	5.2	1017	2.5	NE	5.70	0.06	00:00	8
16:30	13.2	61	5.8	1017	1.9	NE	5.83	0.06	00:00	8
17:00	12.7	62	5.6	1017	1.4	NE	5.95	0.06	00:00	6
17:30	11.8	63	5.0	1018	0.9	NE	5.95	0.06	00:00	4
18:00	10.9	65	4.6	1018	0.7	NE	5.95	0.06	00:00	4
18:30	10.5	68	4.8	1018	0.5	NE	5.95	0.06	00:00	4
19:00	9.2	72	4.4	1018	0.3	NE	5.95	0.06	00:00	2
19:30	8.8	76	4.8	1018	0.3	NE	5.95	0.06	00:00	4
20:00	8.4	77	4.6	1019	0.5	NE	5.95	0.06	00:00	4
20:30	8.0	77	4.2	1019	0.3	NE	5.95	0.06	00:00	2
21:00	7.2	81	4.2	1019	0.3	N	5.95	0.06	00:00	2
21:30	7.2	81	4.2	1019	0.5	S	5.95	0.06	00:00	2
22:00	7.2	82	4.3	1019	0.5	S	5.95	0.06	00:00	2
22:30	6.8	84	4.3	1019	0.7	S	5.95	0.06	00:00	4
23:00	6.8	85	4.4	1019	0.4	S	5.95	0.06	00:00	2
23:30	6.8	86	4.6	1019	0.3	S	5.95	0.06	00:00	2
23:59	6.8	87	4.8	1019	0.2	S	5.95	0.06	00:00	2
